Complexity|MSE|Equation
1|0.33028647|7.1622915
5|0.28631634|(7.8328733 + (-0.0066437237 * x0))
7|0.2559001|(6.3471384 + (40.020206 * (1.8641022 / x0)))
8|0.24938112|(6.7739754 + invs(53.39176 * (1.0129403 / x0)))
10|0.23552978|(6.679131 + (sqrt_abs(-92.725464 + x0) * (10.188403 / x0)))
12|0.23448461|(6.676117 + (sqrt_abs(-2702.1394 + (29.186886 * x0)) * (1.8975837 / x0)))
