Complexity|MSE|Equation
1|0.33028647|7.1622915
3|0.31442338|(0.16077507 * x0)
5|0.3143137|(-0.64991784 + (0.17536144 * x0))
6|0.31415612|sqrt_abs(-61.89378 + (2.5410955 * x0))
