Complexity|MSE|Equation
1|0.33028647|7.1622915
6|0.1825926|(8.190692 + (-2.580824 * sqrt_abs(x0)))
11|0.17725882|((log_abs(invc(log_abs(x0) + -9.871686)) - sqrt_abs(x0)) - -0.123864904)
13|0.16213746|((15.1917 + (-14.43455 * sqrt_abs(x0))) + (-1.2838968 * log_abs(invc(log_abs(x0)))))
