Complexity|MSE|Equation
1|0.33028647|7.1622915
5|0.27513665|(6.900789 + (0.00046441265 * x0))
6|0.19144544|(4.987254 + (0.36946422 * log_abs(x0)))
7|0.17549615|(7.527669 + (-7.3787136 * (10.788994 / x0)))
9|0.17153072|(invs(exp((x0 - 6.233713) / x0)) + 0.1603419)
10|0.1291974|((5.0223727 + (-0.0031497676 * x0)) + (0.18273006 * sqrt_abs(x0)))
