Complexity|MSE|Equation
1|0.33028647|7.162292
5|0.20975672|(7.6037927 + (-2.4397953 * x0))
7|0.18371838|(6.6900687 + (-0.035639256 * (-1.4076147 / x0)))
10|0.1624781|((9.125232 + (4.8732333 * x0)) + (-7.1391535 * sqrt_abs(x0)))
14|0.16193406|(((9.018443 + (x0 * x0)) + (3.4844406 * x0)) + (-6.373472 * sqrt_abs(x0)))
20|0.16134283|((((x0 + 8.953306) * x0) + (-1.1392372 - (sqrt_abs(x0 / -1.0721232) + invc(x0 + -2.120665)))) - sqrt_abs(x0))
