Complexity|MSE|Equation
1|0.33028647|7.162292
3|0.31442335|(0.16077518 * x0)
5|0.3143137|(-0.6458924 + (0.17526953 * x0))
6|0.31415686|sqrt_abs(-62.569687 + (2.5563638 * x0))
